"","predictionData","data_test.class","SVM_LABEL","SVM_PROB"
"54","although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's still a guilty pleasure to watch . ","pos","pos",0.790939299985295
"55","surprisingly , the film is a hilarious adventure and i shamelessly enjoyed it . ","pos","pos",0.933296870348128
"56","the way home is an ode to unconditional love and compassion garnered from years of seeing it all , a condition only the old are privy to , and . . . often misconstrued as weakness . ","pos","pos",0.714663722061253
"57","brutally honest and told with humor and poignancy , which makes its message resonate . ","pos","pos",0.814156861945448
"58","if you can read the subtitles ( the opera is sung in italian ) and you like 'masterpiece theatre' type costumes , you'll enjoy this movie . ","pos","pos",0.750630612322501
"59","a pretty funny movie , with most of the humor coming , as before , from the incongruous but chemically perfect teaming of crystal and de niro . ","pos","neg",0.6402246188158
"60","gangster no . 1 is solid , satisfying fare for adults . ","pos","pos",0.715651289045903
"61","this chicago has hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare . ","pos","pos",0.87761639947447
"62","has enough gun battles and throwaway humor to cover up the yawning chasm where the plot should be . ","pos","neg",0.744750494211581
"63","with its jerky hand-held camera and documentary feel , bloody sunday is a sobering recount of a very bleak day in derry . ","pos","pos",0.921675204507474
"64","you will likely prefer to keep on watching . ","pos","pos",0.593580916585133
"65","insomnia loses points when it surrenders to a formulaic bang-bang , shoot-em-up scene at the conclusion . but the performances of pacino , williams , and swank keep the viewer wide-awake all the way through . ","pos","pos",0.65725425603703
"66","what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising , subtle turn at the midway point . ","pos","pos",0.581277079430743
"67","at a time when commercialism has squeezed the life out of whatever idealism american moviemaking ever had , godfrey reggio's career shines like a lonely beacon . ","pos","pos",0.835326334271063
"68","an inuit masterpiece that will give you goosebumps as its uncanny tale of love , communal discord , and justice unfolds . ","pos","pos",0.955997680244311
"69","this is popcorn movie fun with equal doses of action , cheese , ham and cheek ( as well as a serious debt to the road warrior ) , but it feels like unrealized potential","pos","pos",0.712331418435155
"70","it's a testament to de niro and director michael caton-jones that by movie's end , we accept the characters and the film , flaws and all . ","pos","pos",0.593294659189614
"71","performances are potent , and the women's stories are ably intercut and involving . ","pos","pos",0.885264691678842
"72","an enormously entertaining movie , like nothing we've ever seen before , and yet completely familiar . ","pos","pos",0.757382550831206
"73","lan yu is a genuine love story , full of traditional layers of awakening and ripening and separation and recovery . ","pos","pos",0.781925074032095
"74","your children will be occupied for 72 minutes . ","pos","neg",0.591864887278729
"75","pull[s] off the rare trick of recreating not only the look of a certain era , but also the feel . ","pos","pos",0.833194377596967
"76","twohy's a good yarn-spinner , and ultimately the story compels . ","pos","pos",0.637541936769046
"77","'tobey maguire is a poster boy for the geek generation . '","pos","neg",0.652531064376627
"78"," . . . a sweetly affecting story about four sisters who are coping , in one way or another , with life's endgame . ","pos","pos",0.839981191961366
"79","passion , melodrama , sorrow , laugther , and tears cascade over the screen effortlessly . . . ","pos","neg",0.538344968278642
"80","road to perdition does display greatness , and it's worth seeing . but it also comes with the laziness and arrogance of a thing that already knows it's won . ","pos","pos",0.630261201231954
"81","a marvelous performance by allison lohman as an identity-seeking foster child . ","pos","pos",0.870870449135302
"82","arliss howard's ambitious , moving , and adventurous directorial debut , big bad love , meets so many of the challenges it poses for itself that one can forgive the film its flaws . ","pos","pos",0.78613052147081
"83","critics need a good laugh , too , and this too-extreme-for-tv rendition of the notorious mtv show delivers the outrageous , sickening , sidesplitting goods in steaming , visceral heaps . ","pos","pos",0.865724770331657
"84","what a dumb , fun , curiously adolescent movie this is . ","pos","pos",0.645211346014692
"85","many insightful moments . ","pos","neg",0.523406716991064
"86","the charms of the lead performances allow us to forget most of the film's problems . ","pos","pos",0.653795374314167
"87","a vivid , sometimes surreal , glimpse into the mysteries of human behavior . ","pos","pos",0.884949637491722
"88","a tour de force of modern cinema . ","pos","pos",0.887493413148461
"89","peralta captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the dogtown experience . ","pos","pos",0.919742166531371
"90","the lively appeal of the last kiss lies in the ease with which it integrates thoughtfulness and pasta-fagioli comedy . ","pos","pos",0.811458597586796
"91","without resorting to camp or parody , haynes ( like sirk , but differently ) has transformed the rhetoric of hollywood melodrama into something provocative , rich , and strange . ","pos","pos",0.739820517900908
"92","the performances are an absolute joy . ","pos","pos",0.712436825154418
"93","a quasi-documentary by french filmmaker karim dridi that celebrates the hardy spirit of cuban music . ","pos","pos",0.858381465233438
"94","grant carries the day with impeccable comic timing , raffish charm and piercing intellect . ","pos","pos",0.903545718867923
"95","a sensitive and astute first feature by anne-sophie birot . ","pos","pos",0.543922139217243
"96","both exuberantly romantic and serenely melancholy , what time is it there ? may prove to be [tsai's] masterpiece . ","pos","pos",0.949098648781791
"97","mazel tov to a film about a family's joyous life acting on the yiddish stage . ","pos","pos",0.796280524423535
"98","standing in the shadows of motown is the best kind of documentary , one that makes a depleted yesterday feel very much like a brand-new tomorrow . ","pos","pos",0.749384811361892
"99","it's nice to see piscopo again after all these years , and chaykin and headly are priceless . ","pos","pos",0.839647246849023
"100","provides a porthole into that noble , trembling incoherence that defines us all . ","pos","pos",0.615763411628653
