class,text
pos,"brutally honest and told with humor and poignancy , which makes its message resonate . "
pos,"if you can read the subtitles ( the opera is sung in italian ) and you like 'masterpiece theatre' type costumes , you'll enjoy this movie . "
pos,"a pretty funny movie , with most of the humor coming , as before , from the incongruous but chemically perfect teaming of crystal and de niro . "
pos,"gangster no . 1 is solid , satisfying fare for adults . "
pos,"this chicago has hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare . "
pos,"has enough gun battles and throwaway humor to cover up the yawning chasm where the plot should be . "
pos,"with its jerky hand-held camera and documentary feel , bloody sunday is a sobering recount of a very bleak day in derry . "
pos,"you will likely prefer to keep on watching . "
pos,"insomnia loses points when it surrenders to a formulaic bang-bang , shoot-em-up scene at the conclusion . but the performances of pacino , williams , and swank keep the viewer wide-awake all the way through . "
pos,"what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising , subtle turn at the midway point . "
pos,"at a time when commercialism has squeezed the life out of whatever idealism american moviemaking ever had , godfrey reggio's career shines like a lonely beacon . "
pos,"an inuit masterpiece that will give you goosebumps as its uncanny tale of love , communal discord , and justice unfolds . "
pos,"this is popcorn movie fun with equal doses of action , cheese , ham and cheek ( as well as a serious debt to the road warrior ) , but it feels like unrealized potential"
pos,"it's a testament to de niro and director michael caton-jones that by movie's end , we accept the characters and the film , flaws and all . "
pos,"performances are potent , and the women's stories are ably intercut and involving . "
pos,"an enormously entertaining movie , like nothing we've ever seen before , and yet completely familiar . "
pos,"lan yu is a genuine love story , full of traditional layers of awakening and ripening and separation and recovery . "
pos,"your children will be occupied for 72 minutes . "
pos,"pull[s] off the rare trick of recreating not only the look of a certain era , but also the feel . "
pos,"twohy's a good yarn-spinner , and ultimately the story compels . "
pos,"'tobey maguire is a poster boy for the geek generation . '"
pos," . . . a sweetly affecting story about four sisters who are coping , in one way or another , with life's endgame . "
pos,"passion , melodrama , sorrow , laugther , and tears cascade over the screen effortlessly . . . "
pos,"road to perdition does display greatness , and it's worth seeing . but it also comes with the laziness and arrogance of a thing that already knows it's won . "
pos,"a marvelous performance by allison lohman as an identity-seeking foster child . "
pos,"arliss howard's ambitious , moving , and adventurous directorial debut , big bad love , meets so many of the challenges it poses for itself that one can forgive the film its flaws . "
pos,"critics need a good laugh , too , and this too-extreme-for-tv rendition of the notorious mtv show delivers the outrageous , sickening , sidesplitting goods in steaming , visceral heaps . "
pos,"what a dumb , fun , curiously adolescent movie this is . "
pos,"many insightful moments . "
pos,"the charms of the lead performances allow us to forget most of the film's problems . "
pos,"a vivid , sometimes surreal , glimpse into the mysteries of human behavior . "
pos,"a tour de force of modern cinema . "
pos,"peralta captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the dogtown experience . "
pos,"the lively appeal of the last kiss lies in the ease with which it integrates thoughtfulness and pasta-fagioli comedy . "
pos,"without resorting to camp or parody , haynes ( like sirk , but differently ) has transformed the rhetoric of hollywood melodrama into something provocative , rich , and strange . "
pos,"the performances are an absolute joy . "
pos,"a quasi-documentary by french filmmaker karim dridi that celebrates the hardy spirit of cuban music . "
pos,"grant carries the day with impeccable comic timing , raffish charm and piercing intellect . "
pos,"a sensitive and astute first feature by anne-sophie birot . "
pos,"both exuberantly romantic and serenely melancholy , what time is it there ? may prove to be [tsai's] masterpiece . "
pos,"mazel tov to a film about a family's joyous life acting on the yiddish stage . "
pos,"standing in the shadows of motown is the best kind of documentary , one that makes a depleted yesterday feel very much like a brand-new tomorrow . "
pos,"it's nice to see piscopo again after all these years , and chaykin and headly are priceless . "
pos,"provides a porthole into that noble , trembling incoherence that defines us all . "
